index,Id,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross,Profitability,ARR,Movie Id,Genres,prod_budget_bucket
4117,98,2016,The Darkness,4000000,10753574,10898293,6898293,2.72457325,tt1878841,Horror,b1
4117,98,2016,The Darkness,4000000,10753574,10898293,6898293,2.72457325,tt1878841,Thriller,b1
4119,100,2001,The Wash,4000000,10097096,10097096,6097096,2.524274,tt2025702,Thriller,b1
4121,2,2008,The Visitor,4000000,9427026,19174817,15174817,4.79370425,tt1883160,Drama,b1
4121,2,2008,The Visitor,4000000,9427026,19174817,15174817,4.79370425,tt1883160,Romance,b1
4126,8,2007,Bug,4000000,7006708,8302995,4302995,2.07574875,tt3749926,Drama,b1
4126,8,2007,Bug,4000000,7006708,8302995,4302995,2.07574875,tt3749926,Mystery,b1
4126,8,2007,Bug,4000000,7006708,8302995,4302995,2.07574875,tt3749926,Thriller,b1
4134,18,2012,Samsara,4000000,2672413,5966671,1966671,1.49166775,tt0770802,Documentary,b1
4136,20,2011,The Art of Getting By,4000000,1430241,1989035,-2010965,0.49725875,tt1645080,Drama,b1
4136,20,2011,The Art of Getting By,4000000,1430241,1989035,-2010965,0.49725875,tt1645080,Romance,b1
4138,22,2011,Red State,4000000,1065429,1983596,-2016404,0.495899,tt0873886,Action,b1
4138,22,2011,Red State,4000000,1065429,1983596,-2016404,0.495899,tt0873886,Crime,b1
4138,22,2011,Red State,4000000,1065429,1983596,-2016404,0.495899,tt0873886,Horror,b1
4140,25,2012,Holy Motors,4000000,641054,4230426,230426,1.0576065,tt2076220,Drama,b1
4141,26,2014,The Signal,4000000,600896,2665322,-1334678,0.6663305,tt2910814,Drama,b1
4141,26,2014,The Signal,4000000,600896,2665322,-1334678,0.6663305,tt2910814,Mystery,b1
4141,26,2014,The Signal,4000000,600896,2665322,-1334678,0.6663305,tt2910814,Sci-Fi,b1
4144,29,2014,The Face of Love,4000000,385069,1158877,-2841123,0.28971925,tt1839642,Drama,b1
4144,29,2014,The Face of Love,4000000,385069,1158877,-2841123,0.28971925,tt1839642,Mystery,b1
4144,29,2014,The Face of Love,4000000,385069,1158877,-2841123,0.28971925,tt1839642,Romance,b1
4145,30,2014,Joe,4000000,373375,373375,-3626625,0.09334375,tt2382396,Crime,b1
4145,30,2014,Joe,4000000,373375,373375,-3626625,0.09334375,tt2382396,Drama,b1
4149,35,2019,Late Night,4000000,246305,246305,-3753695,0.06157625,tt6107548,Comedy,b1
4149,35,2019,Late Night,4000000,246305,246305,-3753695,0.06157625,tt6107548,Drama,b1
4152,38,2015,Desert Dancer,4000000,155271,596335,-3403665,0.14908375,tt2403393,Drama,b1
4155,41,2015,Manglehorn,4000000,132270,797439,-3202561,0.19935975,tt2893490,Drama,b1
4157,43,2011,Trust,4000000,120016,120016,-3879984,0.030004,tt1529572,Crime,b1
